Date_Time,Dp>0.3
2020-08-08 12:09:20,0
2020-08-08 12:09:30,0
2020-08-08 12:09:40,0
2020-08-08 12:09:50,0
2020-08-08 12:10:00,0
2020-08-08 12:10:20,0
2020-08-08 12:10:30,0
2020-08-08 12:10:40,0
2020-08-08 12:10:50,0
2020-08-08 12:11:00,0
2020-08-08 12:11:20,0
2020-08-08 12:11:30,0
2020-08-08 12:11:40,0
2020-08-08 12:11:50,0
2020-08-08 12:12:00,0
2020-08-08 12:12:20,0
2020-08-08 12:12:30,0
2020-08-08 12:12:40,0
2020-08-08 12:12:50,0
2020-08-08 12:13:00,9
2020-08-08 12:13:20,9
2020-08-08 12:13:30,0
2020-08-08 12:13:40,138
2020-08-08 12:13:50,138
2020-08-08 12:14:00,0
2020-08-08 12:14:20,0
2020-08-08 12:14:30,0
2020-08-08 12:14:40,0
2020-08-08 12:14:50,0
2020-08-08 12:15:00,0
2020-08-08 12:15:20,57
2020-08-08 12:15:30,66
2020-08-08 12:15:40,9
2020-08-08 12:15:50,0
2020-08-08 12:16:00,0
2020-08-08 12:16:20,18
2020-08-08 12:16:30,0
2020-08-08 12:16:40,9
2020-08-08 12:16:50,9
2020-08-08 12:17:00,9
2020-08-08 12:17:20,18
2020-08-08 12:17:30,9
2020-08-08 12:17:40,9
2020-08-08 12:17:50,30
2020-08-08 12:18:00,9
2020-08-08 12:18:20,0
2020-08-08 12:18:30,9
2020-08-08 12:18:40,9
2020-08-08 12:18:50,0
2020-08-08 12:19:00,9
2020-08-08 12:19:20,0
2020-08-08 12:19:30,0
2020-08-08 12:19:40,9
2020-08-08 12:19:50,9
2020-08-08 12:20:00,0
2020-08-08 12:20:20,0
2020-08-08 12:20:30,0
2020-08-08 12:20:40,0
2020-08-08 12:20:50,0
2020-08-08 12:21:00,0
2020-08-08 12:21:20,0
2020-08-08 12:21:30,0
2020-08-08 12:21:40,9
2020-08-08 12:21:50,0
2020-08-08 12:22:00,9
2020-08-08 12:22:20,0
2020-08-08 12:22:30,0
2020-08-08 12:22:40,0
2020-08-08 12:22:50,0
2020-08-08 12:23:00,9
2020-08-08 12:23:20,0
2020-08-08 12:23:30,0
2020-08-08 12:23:40,0
2020-08-08 12:23:50,0
2020-08-08 12:24:00,0
2020-08-08 12:24:20,0
2020-08-08 12:24:30,18
2020-08-08 12:24:40,9
2020-08-08 12:24:50,9
2020-08-08 12:25:00,9
2020-08-08 12:25:20,18
2020-08-08 12:25:30,9
2020-08-08 12:25:40,0
2020-08-08 12:25:50,9
2020-08-08 12:26:00,9
2020-08-08 12:26:20,48
2020-08-08 12:26:30,72
2020-08-08 12:26:40,72
2020-08-08 12:26:50,42
2020-08-08 12:27:00,0
2020-08-08 12:27:20,102
2020-08-08 12:27:30,147
2020-08-08 12:27:40,105
2020-08-08 12:27:50,9
2020-08-08 12:28:00,9
2020-08-08 12:28:20,162
2020-08-08 12:28:30,144
2020-08-08 12:28:40,162
2020-08-08 12:28:50,90
2020-08-08 12:29:00,99
2020-08-08 12:29:20,63
2020-08-08 12:29:30,27
2020-08-08 12:29:40,81
2020-08-08 12:29:50,48
2020-08-08 12:30:00,60
2020-08-08 12:30:20,51
2020-08-08 12:30:30,60
2020-08-08 12:30:40,96
2020-08-08 12:30:50,105
2020-08-08 12:31:00,123
2020-08-08 12:31:20,120
2020-08-08 12:31:30,123
2020-08-08 12:31:40,30
2020-08-08 12:31:50,96
2020-08-08 12:32:00,84
2020-08-08 12:32:20,27
2020-08-08 12:32:30,96
2020-08-08 12:32:40,0
2020-08-08 12:32:50,57
2020-08-08 12:33:00,57
2020-08-08 12:33:20,30
2020-08-08 12:33:30,39
2020-08-08 12:33:40,27
2020-08-08 12:33:50,18
2020-08-08 12:34:00,9
2020-08-08 12:34:20,30
2020-08-08 12:34:30,0
2020-08-08 12:34:40,0
2020-08-08 12:34:50,0
2020-08-08 12:35:00,21
2020-08-08 12:35:20,0
2020-08-08 12:35:30,9
2020-08-08 12:35:40,18
2020-08-08 12:35:50,0
2020-08-08 12:36:00,0
2020-08-08 12:36:20,0
2020-08-08 12:36:30,0
2020-08-08 12:36:40,9
2020-08-08 12:36:50,9
2020-08-08 12:37:00,0
2020-08-08 12:37:20,0
2020-08-08 12:37:30,0
2020-08-08 12:37:40,0
2020-08-08 12:37:50,0
2020-08-08 12:38:00,9
2020-08-08 12:38:20,0
2020-08-08 12:38:30,0
2020-08-08 12:38:40,0
2020-08-08 12:38:50,0
2020-08-08 12:39:00,0
2020-08-08 12:39:20,9
2020-08-08 12:39:30,42
2020-08-08 12:39:40,18
2020-08-08 12:39:50,18
2020-08-08 12:40:00,42
2020-08-08 12:40:20,18
2020-08-08 12:40:30,18
2020-08-08 12:40:40,9
2020-08-08 12:40:50,21
2020-08-08 12:41:00,21
2020-08-08 12:41:20,108
2020-08-08 12:41:30,225
2020-08-08 12:41:40,132
2020-08-08 12:41:50,210
2020-08-08 12:42:00,255
2020-08-08 12:42:20,132
2020-08-08 12:42:30,84
2020-08-08 12:42:40,36
2020-08-08 12:42:50,9
2020-08-08 12:43:00,9
2020-08-08 12:43:20,150
2020-08-08 12:43:30,78
2020-08-08 12:43:40,36
2020-08-08 12:43:50,39
2020-08-08 12:44:00,69
2020-08-08 12:44:20,72
2020-08-08 12:44:30,30
2020-08-08 12:44:40,69
2020-08-08 12:44:50,144
2020-08-08 12:45:00,159
2020-08-08 12:45:20,9
2020-08-08 12:45:30,72
2020-08-08 12:45:40,39
2020-08-08 12:45:50,66
2020-08-08 12:46:00,171
2020-08-08 12:46:20,66
2020-08-08 12:46:30,66
2020-08-08 12:46:40,39
2020-08-08 12:46:50,51
2020-08-08 12:47:00,96
2020-08-08 12:47:20,21
2020-08-08 12:47:30,21
2020-08-08 12:47:40,18
2020-08-08 12:47:50,9
2020-08-08 12:48:00,18
2020-08-08 12:48:20,27
2020-08-08 12:48:30,0
2020-08-08 12:48:40,87
2020-08-08 12:48:50,87
2020-08-08 12:49:00,9
2020-08-08 12:49:20,0
2020-08-08 12:49:30,0
2020-08-08 12:49:40,18
2020-08-08 12:49:50,27
2020-08-08 12:50:00,9
2020-08-08 12:50:20,0
2020-08-08 12:50:30,0
2020-08-08 12:50:40,0
2020-08-08 12:50:50,0
2020-08-08 12:51:00,0
2020-08-08 12:51:20,0
2020-08-08 12:51:30,0
2020-08-08 12:51:40,0
2020-08-08 12:51:50,9
2020-08-08 12:52:00,9
2020-08-08 12:52:20,0
2020-08-08 12:52:30,9
2020-08-08 12:52:40,18
2020-08-08 12:52:50,9
2020-08-08 12:53:00,9
2020-08-08 12:53:20,0
2020-08-08 12:53:30,0
2020-08-08 12:53:40,9
2020-08-08 12:53:50,9
2020-08-08 12:54:00,0
2020-08-08 12:54:20,42
2020-08-08 12:54:30,42
2020-08-08 12:54:40,0
2020-08-08 12:54:50,9
2020-08-08 12:55:00,9
2020-08-08 12:55:20,9
2020-08-08 12:55:30,0
2020-08-08 12:55:40,69
2020-08-08 12:55:50,30
2020-08-08 12:56:00,129
2020-08-08 12:56:20,9
2020-08-08 12:56:30,0
2020-08-08 12:56:40,9
2020-08-08 12:56:50,87
2020-08-08 12:57:00,105
2020-08-08 12:57:20,27
2020-08-08 12:57:30,27
2020-08-08 12:57:40,27
2020-08-08 12:57:50,81
2020-08-08 12:58:00,81
2020-08-08 12:58:20,72
2020-08-08 12:58:30,126
2020-08-08 12:58:40,195
2020-08-08 12:58:50,105
2020-08-08 12:59:00,147
2020-08-08 12:59:20,192
2020-08-08 12:59:30,234
2020-08-08 12:59:40,150
2020-08-08 12:59:50,48
2020-08-08 13:00:00,99
2020-08-08 13:00:20,126
2020-08-08 13:00:30,69
2020-08-08 13:00:40,57
2020-08-08 13:00:50,186
2020-08-08 13:01:00,42
2020-08-08 13:01:20,39
2020-08-08 13:01:30,9
2020-08-08 13:01:40,30
2020-08-08 13:01:50,30
2020-08-08 13:02:00,9
2020-08-08 13:02:20,39
2020-08-08 13:02:30,30
2020-08-08 13:02:40,18
2020-08-08 13:02:50,39
2020-08-08 13:03:00,66
